Book title,Author,Description,Price
"[""Незриме життя Адді Лярю""]","[""Вікторія Шваб""]","[""Далекого 1714 року у Франції одна дівчина укладає фаустівську угоду, щоб отримати вічне життя. Але угода виявляється прокляттям: тепер її забуватимуть усі, кого вона зустріне на своєму шляху. \n Так починається неймовірне життя Адді Лярю, її приголомшлива подорож століттями і континентами, історією""]","[""380""]"
"[""Князь русинів. У павутинні інтриг. Книга 1""]","[""Ярослава Дегтяренко""]","[""Другу книгу дилогії очікуйте в першому півріччі 2023 р. – орієнтовно лютий-березень. \n 1349 рік. Великий князь Любарт Ґедимінович, володар Галичини та Волині, повдовів, тому їде до Новогрудка брати шлюб з ростовською князівною Ольгою Костянтинівною. Князеві потрібен спадкоємець і вигідні""]","[""165""]"
"[""Камінь посеред саду (м'яка обкл.)""]","[""Володимир Лис""]","[""Перевидання у новому форматі \n Туманного ранку слідчий приїздить на новий виклик. У саду знайшли мертвого чоловіка, а поруч із ним - величезний камінь. Убивство? Випадковість? Самогубство? Справа не буде простою. \n Андрій Троян жив як годиться: відбував час на роботі, приходив додому, цілував""]","[""135""]"
"[""Атлант розправив плечі. Частина друга. Або—Або""]","[""Айн Ренд""]","[""Тематика видання \n Індивідуалізм, психологія творчості, приватна власність, великий бізнес.\n  Про книгу \n Ренд в численних інтерв’ю американській пресі стверджувала: людина повинна жити не заради інших, а передусім ради себе. Авторку звинувачували в егоїзмі та прямолінійності щодо подачі""]","[""250""]"
"[""Дожити до весни (м'яка обкл.)""]","[""Надія Гуменюк""]","[""Перевидання у новому форматі.   У першому півріччі 2023 р. очікуйте на новинку авторки - роман «І дощ не змиє всі сліди», а також репринт у зручному форматі «Енна. Дорога до себе»  \n Життя як детектив. Життя як драма. Життя як воскресіння. Три захопливі історії — про""]","[""150""]"
"[""Місто дівчат""]","[""Елізабет Ґілберт""]","[""«Місто дівчат» — новий бестселер Елізабет Ґілберт, яка підкорила світ романами «Їсти, молитися, кохати» та «Природа всіх речей». \n  Це інтригуючий роман про жіночу сексуальність і свободу, про відвагу бути собою і право жити так, як тобі хочеться. А ще — історія дуже незвичайного кохання, на яке""]","[""250""]"
"[""Тільки нікому про це не кажи""]","[""Ірена Карпа""]","[""Марґо давно живе в Парижі. Вона працює фотографкою. Любить красивий одяг, відриватися на вечірках та у секс-клубах. У рідному Києві залишився її дід, з яким у неї дружні стосунки і таємничий С., якого вона переконує переїхати до Парижа. У неї наче все є, але щось всередині не дає їй спокою. Вона""]","[""350""]"
"[""Чоловік на ім'я Уве""]","[""Фредрік Бакман""]","[""ПРО КНИЖКУ ФРЕДЕРІКА БАКМАНА  \n Роман «Чоловік на ім’я Уве» літературний дебют популярного шведського журналіста, блогера Фредріка Бакмана. Книжка вийшла у 2012 році. На сьогодні продано більше п’ятьох мільйонів примірників. Роман «Чоловік на ім’я Уве»""]","[""350""]"
"[""На Західному фронті без змін""]","[""Еріх Марія Ремарк""]","[""В основу роману покладено реальні спогади автора про Першу світову війну. Коли Ремарку виповнилося вісімнадцять, його мобілізували до війська, а через рік перекинули на Західний фронт. Головний герой роману — молодий солдат Пауль Боймер — так само потрапляє в пекло війни. Те, що він бачить, не""]","[""210""]"
"[""Покинь, якщо кохаєш""]","[""Колін Гувер""]","[""Головна героїня Лілі, прототипом якої частково постає сама письменниця, втрачає тата й поринає в спогади про непросте дитинство. Будинок її батьків, шанованих і пристойних громадян, ніколи не був затишним сімейним гніздечком, адже Лілі з мамою жили в постійному напруженні через агресивний характер""]","[""290""]"
"[""Колгосп тварин""]","[""Джордж Орвелл""]","[""Безсмертний і незмінно актуальний роман Орвелла — нищівна сатира на сліпе крокування поневоленого суспільства в прірву тоталітаризму. \n Тематика книжки \n Художня література, політична сатира. \n Короткий опис книги «Колгосп тварин» \n Владу над фермою перейняли спрацьовані, зневажені тварини.""]","[""120""]"
"[""Юпак""]","[""Сергій Сергійович Saigon""]","[""Прокляття, дрімавше в дощатому сарайчику, вирвалося на свободу. Ревучи мотором, воно пронесеться по життю тих, хто не встояв перед спокусою, ламаючи і змінюючи їх долі.\nНабираючи швидкість, пролетить крізь друзки пляшок, які із хрускотом б'ються на асфальті сільських дискотек, гучну музику, крики""]","[""330""]"
